query_table,query_value,candidate_table,candidate_value
galaxy_left,ngc 1566,galaxy_right,ngc 5562
rugbyleague_left,caribbean women's sevens championship,rugbyleague_right,oceania women's sevens championship
politicalparty_left,manipur pradesh congress committee,politicalparty_right,chhattisgarh pradesh congress committee
sportfacility_left,estadio parque artigas,sportfacility_right,estadio centenario (cuernavaca)
railwayline_left,"line 18, shanghai metro",railwayline_right,"line 1, shenzhen metro"
nationalfootballleagueseason_left,1901 latrobe athletic association season,nationalfootballleagueseason_right,1905 canton athletic club season
nationalfootballleagueseason_left,1905 latrobe athletic association season,nationalfootballleagueseason_right,1913 canton professionals season
memberofparliament_left,james wilson (new zealand politician),memberofparliament_right,"james wilson (new zealand politician, born 1849)"
unitofwork_left,"c & l enterprises, inc. v. citizen band, potawatomi indian tribe of okla.",unitofwork_right,"c & l enterprises, inc. v. citizen band, potawatomi indian tribe of oklahoma"
wrestler_left,"rayo de jalisco, sr.",wrestler_right,rayo de jalisco jr.
amphibian_left,eurycea longicauda,amphibian_right,eurycea aquatica
case_left,"flagg brothers, inc. v. brooks",case_right,"flagg bros., inc. v. brooks"
monarch_left,ahmad ibn ali,monarch_right,lashkari ibn muhammad
monarch_left,ali ibn umar,monarch_right,yusuf ibn abi'l-saj
shoppingmall_left,grand central mall,shoppingmall_right,great northern mall (ohio)
case_left,"linmark associates, inc. v. willingboro",case_right,"linmark associates, inc. v. township of willingboro"
case_left,northwestern national life insurance co. v. riggs,case_right,chicago life insurance co. v. needles
legislature_left,parliament of india,legislature_right,indian parliament
artificialsatellite_left,kosmos 520,artificialsatellite_right,kosmos 605
venue_left,estadio atenas,venue_right,estadio mundialista luciana aymar
hospital_left,western general hospital,hospital_right,western state hospital (washington)
tournament_left,2010 south american women's football championship,tournament_right,2012 south american under-17 women's football championship
soccerclubseason_left,2002 australia national football team season,soccerclubseason_right,1999 australia national soccer team season
tournament_left,nagashima shigeo invitational sega sammy cup,tournament_right,shigeo nagashima invitational sega sammy cup
song_left,dry bones (anthology),song_right,dry bones (folk song)
legislature_left,mid and east antrim district council,legislature_right,antrim and newtownabbey borough council
race_left,british national road race championships,race_right,south african national road race championships
galaxy_left,ngc 5068,galaxy_right,ngc 5562
shoppingmall_left,west manchester mall,shoppingmall_right,west manchester town center
tournament_left,1978 uefa european under-18 football championship,tournament_right,1979 uefa european under-18 championship
galaxy_left,ngc 5545,galaxy_right,ngc 5562
race_left,new zealand derby,race_right,south australian derby
historicbuilding_left,zion's church (worpswede),historicbuilding_right,zion church (worpswede)
hospital_left,hong kong central hospital,hospital_right,st. teresa's hospital (hong kong)
shoppingmall_left,northlake mall (charlotte),shoppingmall_right,eastridge mall (gastonia)
motorsportseason_left,2013 fim motocross world championship season,motorsportseason_right,2013 fim motocross world championship
basketballteam_left,canberra capitals,basketballteam_right,university of canberra capitals
nationalfootballleagueseason_left,1906 canton bulldogs season,nationalfootballleagueseason_right,1913 canton professionals season
nationalfootballleagueseason_left,1951 cleveland browns season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
noble_left,"francis anthony, count of hohenzollern-haigerloch",noble_right,"christoph, count of hohenzollern-haigerloch"
artwork_left,christ of saint john of the cross,artwork_right,the crucifixion with the virgin and st john (hendrick ter brugghen)
device_left,305 mm howitzer m1939 (br-18),device_right,m1918 240 mm howitzer
song_left,pyar kiya to darna kya,song_right,kadam kadam badaye ja
railwayline_left,sealdah south lines,railwayline_right,sealdah south lines
basketballteam_left,bc tsmoki-minsk,basketballteam_right,bc minsk-2006
christianbishop_left,cyril mar baselios,christianbishop_right,cyril baselios
politicalparty_left,social democratic party of russia,politicalparty_right,liberal democratic party of russia
tournament_left,1988 uefa european under-16 football championship,tournament_right,1990 uefa european under-16 championship
unitofwork_left,honda motor company v. oberg,unitofwork_right,honda motor co. v. oberg
museum_left,archaeological museum of arta,museum_right,"archaeological and art museum, thrissur"
hospital_left,bronx-lebanon hospital center,hospital_right,lincoln hospital (bronx)
shoppingmall_left,west mall,shoppingmall_right,south city mall
museum_left,ucla fowler museum of cultural history,museum_right,fowler museum at ucla
venue_left,"fox theatre (redwood city, california)",venue_right,fox theatre (detroit)
tournament_left,1960 uefa european under-18 football championship,tournament_right,1960 uefa european under-18 championship
song_left,when it's moonlight on the prairie,song_right,when it's moonlight on the prairie
basketballteam_left,hkk zrinjski mostar,basketballteam_right,kk vojvodina srbijagas
memberofparliament_left,c. suntharalingam,memberofparliament_right,c. chandrakanthan
galaxy_left,ngc 5886,galaxy_right,ngc 5562
televisionstation_left,oprah winfrey network (u.s. tv channel),televisionstation_right,oprah winfrey network (canada)
rugbyleague_left,african women's sevens,rugbyleague_right,african women's sevens championship
footballleagueseason_left,2008 j. league division 2,footballleagueseason_right,2009 j.league division 2
televisionstation_left,khdf-cd,televisionstation_right,kdfx-cd
motorsportseason_left,2010 fim motocross world championship season,motorsportseason_right,2010 fim motocross world championship
museum_left,national archives of serbia,museum_right,archive of serbia
sportfacility_left,estadio 12 de febrero,sportfacility_right,estadio centenario (cuernavaca)
givenname_left,sarah (given name),givenname_right,sophie (given name)
reptile_left,dwarf karoo girdled lizard,reptile_right,dwarf karoo girdled lizard
politicalparty_left,people's democratic party (chile),politicalparty_right,chilean social democracy party
sportfacility_left,shahid bahonar stadium,sportfacility_right,stepan shahumyan republican stadium
noble_left,anna elisabeth of anhalt-bernburg,noble_right,maria leopoldine of anhalt-dessau
unitofwork_left,state oil company v. khan,unitofwork_right,state oil co. v. khan
nationalfootballleagueseason_left,1923 canton bulldogs season,nationalfootballleagueseason_right,1913 canton professionals season
memberofparliament_left,john lewis (uk politician),memberofparliament_right,arthur lewis (british politician)
award_left,1998 brit awards,award_right,1997 brit awards
museum_left,museo nazionale alinari della fotografia,museum_right,museo delle culture
stadium_left,prince moulay abdellah stadium,stadium_right,saoud bin abdulrahman stadium
shoppingmall_left,knollwood mall,shoppingmall_right,brentwood town centre (mall)
motorsportseason_left,1986 imsa gt championship season,motorsportseason_right,1986 imsa gt championship
motorsportseason_left,1992 world rally championship season,motorsportseason_right,1992 world rally championship
wrestler_left,konstantin aleksandrov,wrestler_right,boris zhukov
museum_left,jet aircraft museum,museum_right,de havilland aircraft museum
country_left,xin dynasty,country_right,chen dynasty
artwork_left,self-portrait (thomas eakins),artwork_right,self-portrait (leonardo da vinci)
reptile_left,bedriaga's rock lizard,reptile_right,bedriaga's rock lizard
amphibian_left,mantidactylus madecassus,amphibian_right,mantidactylus thelenae
wrestler_left,dr. wagner,wrestler_right,dr. wagner jr.
christianbishop_left,patriarch joachim iii of constantinople,christianbishop_right,joachim iii of constantinople
award_left,writers guild of america award for television: dramatic series,award_right,writers guild of america award for best screenplay â episodic drama
galaxy_left,ngc 371,galaxy_right,ngc 34
historicbuilding_left,"st. mark's church, dublin",historicbuilding_right,"st. michan's church, dublin"
magazine_left,caravan (magazine),magazine_right,caravan magazine
device_left,rt-2pm topol,device_right,rt-2pm2 topol-m
ethnicgroup_left,swedish iranians,ethnicgroup_right,iranians in sweden
railwayline_left,"line 5, beijing subway",railwayline_right,"line 19, beijing subway"
soccerclubseason_left,2010 australia national football team season,soccerclubseason_right,2012 australia national soccer team season
enzyme_left,4-nitrophenol 2-monooxygenase,enzyme_right,4-hydroxyphenylacetate 3-monooxygenase
politicalparty_left,pirate party (bulgaria),politicalparty_right,pirate party (slovenia)
tournament_left,2007 ofc u-17 championship,tournament_right,2013 ofc u-17 championship
christianbishop_left,john auchmuty (dean),christianbishop_right,john auchmuty
tournament_left,2009 south american under-17 football championship,tournament_right,2013 south american youth football championship
stadium_left,estadio contador damiani,stadium_right,estadio luis \
drug_left,sulforidazine,drug_right,suloctidil
wrestler_left,mitsuo momota,wrestler_right,kaoru matsumoto
device_left,springfield model 1870,device_right,springfield model 1870
stadium_left,gabala city stadium,stadium_right,city stadium (gjilan)
venue_left,stadionul unirea (dej),venue_right,stadion detelinara
monarch_left,bridei vi of the picts,monarch_right,bridei vi
footballleagueseason_left,1999 swedish football division 3,footballleagueseason_right,1998 swedish football division 3
unitofwork_left,weaver v. palmer brothers company,unitofwork_right,weaver v. palmer bros. co.
tennistournament_left,2012 abn amro world tennis tournament,tennistournament_right,2012 blu-express.com tennis cup
nationalfootballleagueseason_left,1923 cleveland indians (nfl) season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
galaxy_left,ngc 5253,galaxy_right,ngc 5562
museum_left,galleria nazionale d'arte antica,museum_right,museo d'arte antica
christianbishop_left,aeneas chisholm (bishop of aberdeen),christianbishop_right,aeneas chisholm (bishop of aberdeen)
tennistournament_left,2012 bell challenge,tennistournament_right,2011 challenge bell
song_left,mera naam chin chin chu,song_right,mera naam chin chin chu
christianbishop_left,john jones (bishop),christianbishop_right,walter h. jones (bishop)
hospital_left,mount sinai medical center (chicago),hospital_right,mount sinai medical center
magazine_left,sportsnet magazine,magazine_right,sportsnet magazine
monarch_left,ali ibn muhammad,monarch_right,fadl ibn muhammad
tournament_left,2015 south american youth championship,tournament_right,2009 south american youth championship
legislature_left,45th general assembly of newfoundland and labrador,legislature_right,general assembly of newfoundland and labrador
museum_left,royal british columbia museum,museum_right,canadian museum of history
election_left,"mauritanian parliamentary election, 2006",election_right,"mauritanian parliamentary election, 2013"
legislature_left,antrim borough council,legislature_right,mid and east antrim borough council
soccertournament_left,2012 south american under 17 women's championship,soccertournament_right,2012 south american u-20 women championship
sportsleague_left,pacific women's sevens championship,sportsleague_right,asian women's sevens championship
galaxy_left,ngc 4634,galaxy_right,ngc 5562
monarch_left,ahmad ibn asad,monarch_right,fadl ibn muhammad
soccerleague_left,bosnia and herzegovina women's football championship,soccerleague_right,bosnian women's football championship
country_left,malacca sultanate,country_right,crown colony of malacca
artificialsatellite_left,intelsat 3r,artificialsatellite_right,intelsat 28
governmentagency_left,ministry of public safety and security,governmentagency_right,ministry of internal security
soccerclubseason_left,2006 australia national football team season,soccerclubseason_right,2005 australia national soccer team season
wrestler_left,john l. sullivan (wrestler),wrestler_right,dave sullivan (wrestler)
award_left,kbs drama acting awards,award_right,kbs drama awards
tournament_left,2012 bell challenge,tournament_right,2008 challenge bell
case_left,"verizon communications v. law offices of curtis v. trinko, llp",case_right,verizon communications inc. v. fcc (2002)
unitofwork_left,wilburn boat company v. fireman's fund insurance company,unitofwork_right,wilburn boat co. v. fireman's fund insurance co.
givenname_left,kaneyoshi,givenname_right,junichi
historicbuilding_left,turku orthodox church,historicbuilding_right,"st. mary's church, turku"
givenname_left,samad,givenname_right,hamad
memberofparliament_left,s. a. jayantha samaraweera,memberofparliament_right,p. chandrasekaran
stadium_left,krylatskoe sport palace,stadium_right,krylatskoye sports palace
soccerclubseason_left,2011 gyeongnam fc season,soccerclubseason_right,2013 incheon united fc season
givenname_left,susannah (given name),givenname_right,hayley (given name)
sportsleague_left,naia national women's tennis championship,sportsleague_right,naia women's tennis championship
museum_left,heeresgeschichtliches museum,museum_right,hamburg museum
galaxy_left,ngc 5879,galaxy_right,ngc 5562
drug_left,"cp-809,101",drug_right,cp-93129
rugbyleague_left,bledisloe cup,rugbyleague_right,world rugby nations cup
stadium_left,zayed sports city stadium,stadium_right,zahir pajaziti city stadium
galaxy_left,ngc 5746,galaxy_right,ngc 5562
givenname_left,pia (name),givenname_right,pia (given name)
race_left,miracle mile (race),race_right,miracle mile (harness race)
enzyme_left,4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase,enzyme_right,4-hydroxybutyrate dehydrogenase
magazine_left,canadian immigrant (magazine),magazine_right,canadian immigrant
christianbishop_left,charles bernard (bishop),christianbishop_right,charles carr (bishop)
givenname_left,gun (name),givenname_right,gun (swedish name)
hospital_left,luton and dunstable university hospital,hospital_right,milton keynes university hospital
artwork_left,madonna and child with st. anne (dei palafrenieri),artwork_right,the virgin and child with st. anne (leonardo da vinci)
tennistournament_left,1996 bell challenge,tennistournament_right,2010 challenge bell
museum_left,lobkowicz palace,museum_right,lobkowicz palace
basketballteam_left,galatasaray sk (wheelchair basketball),basketballteam_right,galatasaray s.k. (men's basketball)
sportfacility_left,estadio cerro del espino,sportfacility_right,estadio centenario (cuernavaca)
reptile_left,gronovi's dwarf burrowing skink,reptile_right,gronovi's dwarf burrowing skink
song_left,twinkle twinkle little star,song_right,"twinkle, twinkle, little star"
christianbishop_left,george andrew beck,christianbishop_right,george beck (bishop)
wrestler_left,gory guerrero,wrestler_right,gran guerrero
stadium_left,estadio parque artigas,stadium_right,estadio centenario (cuernavaca)
race_left,champagne stakes (united states),race_right,champagne stakes (mvrc)
naturalevent_left,2008 bandar abbas earthquake,naturalevent_right,2004 al hoceima earthquake
memberofparliament_left,"gilbert mitchison, baron mitchison",memberofparliament_right,"dick mitchison, baron mitchison"
soccerleague_left,bristol downs association football league,soccerleague_right,bristol downs football league
monarch_left,mohammad yaqub khan,monarch_right,ghazi ayub khan
governmentagency_left,ministry of health and family welfare (india),governmentagency_right,ministry of health and social welfare
motorsportseason_left,2013 world rally championship-2 season,motorsportseason_right,2013 world rally championship-2
unitofwork_left,minneapolis star tribune company v. commissioner,unitofwork_right,minneapolis star tribune co. v. commissioner
enzyme_left,monodehydroascorbate reductase (nadh),enzyme_right,nadh:ubiquinone reductase (h+-translocating)
reptile_left,spotted skink,reptile_right,spotted skink
railwayline_left,northern sydney freight corridor,railwayline_right,sydney freight network
artificialsatellite_left,kosmos 2475,artificialsatellite_right,kosmos 605
soccerclubseason_left,2009 australia national football team season,soccerclubseason_right,2006 australia national soccer team season
sportfacility_left,kadriorg stadium,sportfacility_right,kadrioru stadium
ncaateamseason_left,1945 alabama crimson tide football team,ncaateamseason_right,1900 alabama crimson white football team
wrestler_left,takashi ishikawa,wrestler_right,takashi iizuka
shoppingmall_left,westfield belden village,shoppingmall_right,westfield eastland
historicbuilding_left,"st. mark's church, dublin",historicbuilding_right,"st. catherine's church, dublin"
politicalparty_left,united progressive party (zambia),politicalparty_right,zambia republican party
amphibian_left,northern zigzag salamander,amphibian_right,northern zigzag salamander
drug_left,sulfathiazole,drug_right,suloctidil
artwork_left,madonna of laroque,artwork_right,madonna of foligno
award_left,2008 grammy awards,award_right,8th grammy awards
motorsportseason_left,2011 fia gt1 world championship season,motorsportseason_right,2011 fia gt1 world championship
governmentagency_left,national bureau of statistics of tanzania,governmentagency_right,national bureau of statistics (tanzania)
ethnicgroup_left,afro ecuadorian,ethnicgroup_right,afro-ecuadorian
monarch_left,bhuvanaikabahu iii of dambadeniya,monarch_right,parakramabahu iv of dambadeniya
givenname_left,julianne,givenname_right,corinne
ncaateamseason_left,1934 alabama crimson tide football team,ncaateamseason_right,1892 alabama cadets football team
unitofwork_left,landmark communications v. virginia,unitofwork_right,"landmark communications, inc. v. virginia"
soccerclubseason_left,2010 jeonbuk hyundai motors season,soccerclubseason_right,2011 jeonbuk hyundai motors fc season
reptile_left,black-headed ground snake,reptile_right,black-headed ground snake
device_left,nokia e51,device_right,nokia e52/e55
magazine_left,entertain magazine,magazine_right,word magazine
case_left,united states v. santa fe pacific railroad co.,case_right,santa clara county v. southern pacific railroad co.
monarch_left,berenice i of egypt,monarch_right,berenice ii of egypt
noble_left,"henri-nompar de caumont, duc de la force",noble_right,"armand-nompar de caumont, duc de la force"
noble_left,"henry iv, duke of brunswick-grubenhagen",noble_right,"henry iii, duke of brunswick-lã¼neburg"
noble_left,"philip iii, count of hanau-lichtenberg",noble_right,"philipp iii, count of hanau-lichtenberg"
drug_left,triazolam,drug_right,triflunordazepam
noble_left,"elizabeth beauchamp, countess of warwick",noble_right,"elizabeth de berkeley, countess of warwick"
shoppingmall_left,la encantada,shoppingmall_right,la encantada (shopping center)
drug_left,5-meo-amt,drug_right,5-meo-amt
historicbuilding_left,"st. george indian orthodox church, perth, australia",historicbuilding_right,"st. george indian orthodox church, perth, western australia"
country_left,colony of santiago (jamaica),country_right,spanish occupation of santiago (jamaica)
country_left,hotaki dynasty,country_right,hotaki empire
case_left,"baltimore gas & elec. co. v. natural resources defense council, inc.",case_right,"baltimore gas & electric co. v. natural resources defense council, inc."
footballmatch_left,1872 scotland vs england football match,footballmatch_right,1876 scotland v wales football match
railwayline_left,"line 2, hangzhou metro",railwayline_right,"line 3, shenzhen metro"
historicbuilding_left,"holy trinity lutheran church, riga",historicbuilding_right,"st. john the forerunner church, riga"
stadium_left,"world arena, colorado springs",stadium_right,"world arena (colorado springs, colorado)"
basketballteam_left,egaleo b.c.,basketballteam_right,egaleo bc
basketballteam_left,hapoel be'eri b.c.,basketballteam_right,hapoel afula b.c.
reptile_left,dwarf beaked snake,reptile_right,dwarf beaked snake
wrestler_left,amarjit singh,wrestler_right,gama singh
footballleagueseason_left,2008 j. league division 2,footballleagueseason_right,2008 j.league division 2
footballleagueseason_left,2005 j. league division 1,footballleagueseason_right,2006 j.league division 2
museum_left,museum of life and science,museum_right,science museum (london)
election_left,"madras presidency legislative assembly election, 1946",election_right,"madras presidency legislative council election, 1937"
tournament_left,2010 uefa european under-17 football championship,tournament_right,2010 uefa european under-17 championship
railwayline_left,"line 4, shanghai metro",railwayline_right,"line 2, shenzhen metro"
rugbyleague_left,rugby world cup,rugbyleague_right,world rugby pacific nations cup
memberofparliament_left,bimal rathnayaka,memberofparliament_right,bimal rathnayake
hospital_left,st catherine's hospital,hospital_right,st margaret's hospital
legislature_left,senate (france),legislature_right,senate of france
railwayline_left,"line 4, shanghai metro",railwayline_right,"line 1, shenzhen metro"
rugbyleague_left,papua new guinea national rugby league,rugbyleague_right,tonga national rugby league
reptile_left,swartberg dwarf chameleon,reptile_right,swartberg dwarf chameleon
soccertournament_left,2014 uefa women's u-19 championship,soccertournament_right,2014 uefa women's under-19 championship
soccerclubseason_left,2011 ulsan hyundai fc season,soccerclubseason_right,2011 jeonbuk hyundai motors fc season
enzyme_left,2-deoxy-d-gluconate 3-dehydrogenase,enzyme_right,sn-glycerol-1-phosphate dehydrogenase
artificialsatellite_left,amc-7,artificialsatellite_right,amc-1
ncaateamseason_left,1918 lsu tigers football team,ncaateamseason_right,1895 lsu football team
race_left,palm beach stakes,race_right,fort lauderdale stakes
footballmatch_left,1998 albanian supercup,footballmatch_right,2012 albanian supercup
artwork_left,the falconer sculpture,artwork_right,the falconer (sculpture)
memberofparliament_left,bruce beetham,memberofparliament_right,ian bruce
amphibian_left,northern barred frog,amphibian_right,northern barred frog
shoppingmall_left,westfield chicago ridge,shoppingmall_right,westfield eastland
artwork_left,the art of painting,artwork_right,the art of painting (vermeer)
footballmatch_left,2010 conference national play-off final,footballmatch_right,2009 conference premier play-off final
galaxy_left,ngc 6240,galaxy_right,ngc 5562
televisionstation_left,w33by,televisionstation_right,w33by-d
race_left,queen alexandra stakes,race_right,queen elizabeth stakes (vrc)
shoppingmall_left,"the summit (birmingham, alabama)",shoppingmall_right,the summit (birmingham)
sportfacility_left,estadio eladio rosabal cordero,sportfacility_right,estadio luis \
election_left,"turkish presidential election, 2014",election_right,"turkish presidential election, 2012"
givenname_left,katie,givenname_right,kathryn
hospital_left,hong kong adventist hospital,hospital_right,queen elizabeth hospital (hong kong)
soccerclubseason_left,2011 woodlands wellington season,soccerclubseason_right,2010 woodlands wellington fc season
ncaateamseason_left,1957 alabama crimson tide football team,ncaateamseason_right,1905 alabama crimson white football team
award_left,2004 brit awards,award_right,2005 brit awards
christianbishop_left,ignatius abded aloho ii,christianbishop_right,ignatius abded mshiho ii
motorsportseason_left,1987 world rally championship season,motorsportseason_right,1987 world rally championship
hospital_left,hospital sultan haji ahmad shah,hospital_right,sultan haji ahmad shah hospital
clericaladministrativeregion_left,diocese of fredericton,clericaladministrativeregion_right,anglican diocese of fredericton
motorsportseason_left,1999 world rally championship season,motorsportseason_right,1999 world rally championship
wrestler_left,kushimaumi keita,wrestler_right,hayato fujita
wrestler_left,julio estrada (wrestler),wrestler_right,francisco flores (wrestling)
rugbyleague_left,paris sevens,rugbyleague_right,france sevens
artificialsatellite_left,a-102 (spacecraft),artificialsatellite_right,as-102 (spacecraft)
museum_left,artscience museum,museum_right,museum of nature & science
legislature_left,national legislature (sudan),legislature_right,national legislature of south sudan
rugbyleague_left,nations cup (women's rugby union),rugbyleague_right,women's nations cup (rugby union)
motorsportseason_left,1999 euro open by nissan season,motorsportseason_right,1999 euro open by nissan
enzyme_left,1-deoxy-11beta-hydroxypentalenate dehydrogenase,enzyme_right,3beta-hydroxysteroid dehydrogenase
monarch_left,abu yusuf yaqub al-mansur,monarch_right,yaqub al-mansur
christianbishop_left,george edward haynsworth,christianbishop_right,g. edward haynsworth
election_left,"agriculture commissioner of florida general election, 1994",election_right,"florida commissioner of agriculture election, 1994"
amphibian_left,eastern sign-bearing froglet,amphibian_right,eastern sign-bearing froglet
televisionstation_left,wyat-lp,televisionstation_right,wswy-lp
device_left,remington model 521 tl junior,device_right,remington model 513
nationalfootballleagueseason_left,1953 new york giants season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
stadium_left,schaumburg baseball stadium,stadium_right,schaumburg boomers stadium
galaxy_left,segue 1,galaxy_right,segue 2
song_left,kal ho naa ho (song),song_right,jai ho
noble_left,"frederick xii, count of hohenzollern",noble_right,"karl i, count of hohenzollern"
race_left,breeders' stakes,race_right,2000 guineas stakes
memberofparliament_left,bill morrison (australian politician),memberofparliament_right,bill morrison (politician)
televisionstation_left,kcxp-lp,televisionstation_right,ktxc-lp
christianbishop_left,patriarch neophytus vi of constantinople,christianbishop_right,patriarch seraphim ii of constantinople
artificialsatellite_left,eutelsat 33a,artificialsatellite_right,eutelsat 31a
artificialsatellite_left,kosmos 2175,artificialsatellite_right,kosmos 1667
noble_left,"gilbert de clare, 1st earl of pembroke",noble_right,"gilbert de clare, 1st earl of pembroke (1st creation)"
magazine_left,indradhanush (magazine),magazine_right,hinduism today magazine
unitofwork_left,ex parte bain,unitofwork_right,ex parte bain
hospital_left,peacehealth southwest medical center,hospital_right,peacehealth sacred heart medical center university district
amphibian_left,mantidactylus aerumnalis,amphibian_right,mantidactylus blanci
reptile_left,northern bahamian rock iguana,reptile_right,northern bahamian rock iguana
unitofwork_left,southern pacific company v. jensen,unitofwork_right,southern pacific co. v. jensen
magazine_left,internet magazine,magazine_right,online (magazine)
clericaladministrativeregion_left,roman catholic diocese of cruz del eje,clericaladministrativeregion_right,roman catholic diocese of sora-cassino-aquino-pontecorvo
rugbyleague_left,irb women's sevens world series,rugbyleague_right,asian women's sevens championship
footballmatch_left,2009 slovenian supercup,footballmatch_right,2012 albanian supercup
ethnicgroup_left,albanian australian,ethnicgroup_right,albanian australians
sportsleague_left,omani super cup,sportsleague_right,oman professional league cup
naturalevent_left,galilee earthquake of 363,naturalevent_right,749 galilee earthquake
historicbuilding_left,"st. brendan catholic church, los angeles",historicbuilding_right,st. timothy catholic church (los angeles)
artificialsatellite_left,kosmos 458,artificialsatellite_right,kosmos 605
election_left,"scottish parliament general election, 2011",election_right,"scottish parliament election, 2011"
sportsleague_left,kenyan provincial league,sportsleague_right,kenyan regional leagues
magazine_left,motorrad (magazine),magazine_right,automobile (magazine)
soccerleague_left,kent football league,soccerleague_right,kent league
monarch_left,yatala tissa of ruhuna,monarch_right,"yatala tissa, prince of ruhuna"
case_left,united states v. trans-missouri freight association,case_right,united states v. trans-missouri freight ass'n
soccerclubseason_left,2009 fc seoul season,soccerclubseason_right,2011 incheon united fc season
museum_left,national museum of serbia,museum_right,"museum of natural history, belgrade"
footballmatch_left,2011 etisalat emirates cup final,footballmatch_right,2011 j.league cup final
stadium_left,goyang korea national baseball team training stadium,stadium_right,"south korea national baseball team training stadium, goyang"
rugbyleague_left,rugby league european cup,rugbyleague_right,league cup (rugby league)
drug_left,bms-945429,drug_right,sb-204741
galaxy_left,ngc 17,galaxy_right,ngc 34
governmentagency_left,european network and information security agency,governmentagency_right,european union agency for network and information security
legislature_left,national council (slovakia),legislature_right,national council of the slovak republic
country_left,principality of hungary,country_right,hungarian people's republic
race_left,sapphire stakes (australia),race_right,sapphire stakes (atc)
soccerclubseason_left,2008 derry gaelic football season,soccerclubseason_right,derry football season 2010
televisionstation_left,wrsp-tv,televisionstation_right,wrbj-tv
rugbyleague_left,new zealand national rugby sevens tournament,rugbyleague_right,world rugby sevens series
artwork_left,portrait of daniele barbaro,artwork_right,portrait of a princess (pisanello)
soccerleague_left,scottish football league first division,soccerleague_right,west of scotland super league premier division
drug_left,sr-48692,drug_right,rs-127445
christianbishop_left,patriarch joachim iii of constantinople,christianbishop_right,patriarch seraphim ii of constantinople
galaxy_left,ngc 5101,galaxy_right,ngc 5562
country_left,zimbabwe,country_right,zimbabwe rhodesia
sportfacility_left,estadio ruta de la plata,sportfacility_right,estadio centenario (cuernavaca)
case_left,"ohio civil rights comm'n v. dayton christian schools, inc.",case_right,"ohio civil rights commission v. dayton christian schools, inc."
hospital_left,shady grove adventist hospital,hospital_right,adventist healthcare shady grove medical center
election_left,"gujarat legislative assembly election, 2007",election_right,"gujarat legislative assembly election, 2007"
givenname_left,takeo,givenname_right,takeru (name)
basketballteam_left,maccabi kiryat gat b.c.,basketballteam_right,hapoel afula b.c.
politicalparty_left,new national party (south africa),politicalparty_right,south african party (union of south africa)
clericaladministrativeregion_left,diocese of zululand,clericaladministrativeregion_right,diocese of swaziland
venue_left,scotch of st james,venue_right,the scotch of st. james
magazine_left,indradhanush (magazine),magazine_right,maxim india (magazine)
railwayline_left,west london line,railwayline_right,south london line
amphibian_left,stream brown frog,amphibian_right,stream brown frog
rugbyleague_left,east regional league (rugby union),rugbyleague_right,division 1-a rugby
sportfacility_left,fedexforum,sportfacility_right,fedex field
soccerleague_left,scottish junior football north premier league,soccerleague_right,scottish premier under-19 league
award_left,list of senior class award men's lacrosse winners,award_right,list of lowe's senior class award men's lacrosse winners
rugbyleague_left,new south wales rugby league premiership,rugbyleague_right,rugby league conference south premier
legislature_left,southern sudan legislative assembly,legislature_right,national assembly of sudan
drug_left,sr-48692,drug_right,sb-357134
governmentagency_left,federal ministry of interior (federation of bosnia and herzegovina),governmentagency_right,ministry of interior affairs and public administration (montenegro)
race_left,prix de saint-georges,race_right,prix bertrand du breuil
soccerleague_left,taunton & district saturday football league,soccerleague_right,taunton & district saturday league
magazine_left,"o, the oprah magazine",magazine_right,o: the oprah magazine
device_left,ordnance qf 3 pounder vickers,device_right,ordnance qf 3-pounder vickers
galaxy_left,ngc 6027,galaxy_right,ngc 5562
legislature_left,parliament of lesotho,legislature_right,national assembly of lesotho
politicalparty_left,egyptian reform party,politicalparty_right,reform and development party (egypt)
footballleagueseason_left,2009 meath intermediate football championship,footballleagueseason_right,meath intermediate football championship 2011
enzyme_left,hydroxylamine dehydrogenase,enzyme_right,4-hydroxybutyrate dehydrogenase
magazine_left,kiss (magazine),magazine_right,kiss (japanese magazine)
unitofwork_left,kerr-mcgee corp. v. navajo tribe,unitofwork_right,united states v. navajo nation (2009)
motorsportseason_left,2010 formula 3 sudamericana season,motorsportseason_right,2010 formula three sudamericana season
tennistournament_left,2010 challenger banque nationale de granby,tennistournament_right,2010 challenger banque nationale de rimouski
rugbyleague_left,rugby league asian cup,rugbyleague_right,asia rugby women's championship
drug_left,"2,5-dimethoxy-4-propylamphetamine",drug_right,4-fluoro-n-methylamphetamine
monarch_left,ranjit singh,monarch_right,ram singh i
unitofwork_left,lassiter v. northampton county board of elections,unitofwork_right,lassiter v. northampton county bd. of elections
soccertournament_left,2002 uefa european under-21 football championship,soccertournament_right,2002 uefa european under-17 championship
reptile_left,many-scaled cylindrical skink,reptile_right,many-scaled cylindrical skink
rugbyleague_left,south american women's sevens championship,rugbyleague_right,south american women's sevens
rugbyleague_left,queensland rugby league central division,rugbyleague_right,rugby league conference north east division
televisionstation_left,tv4 sport,televisionstation_right,sport.tv1
